term,high_apply_posts,low_apply_posts,lift
experience restful,25,0,28.655
figma sketch,25,0,28.655
snowflake data,25,0,28.655
week intercontinental,25,0,28.655
frameworks libraries,24,0,27.553
languages java,24,0,27.553
hadoop spark,23,0,26.451
home flexibility,41,1,23.145
gcp experience,20,0,23.145
below additional,20,0,23.145
stack engineer,36,1,20.389
extract transform,51,2,19.103
services azure,33,1,18.736
building deploying,33,1,18.736
schedule offers,31,1,17.634
fullstack,31,1,17.634
sdet,31,1,17.634
title java,28,1,15.981
dax,28,1,15.981
engineer programmer,28,1,15.981
optimize data,56,3,15.705
database concepts,27,1,15.43
progress previous,27,1,15.43
developer coder,27,1,15.43
experience backend,27,1,15.43
coder software,27,1,15.43
restful api,40,2,15.062
mysql postgresql,26,1,14.879
mongo,26,1,14.879
data stores,26,1,14.879
aws technologies,26,1,14.879
server-side,51,3,14.328
experience node,25,1,14.328
target sales,25,1,14.328
deploying maintaining,25,1,14.328
such sql,49,3,13.777
responsive web,24,1,13.777
frontend backend,24,1,13.777
react node,24,1,13.777
systems equivalent,24,1,13.777
data engineerlocation,24,1,13.777
solution-driven,24,1,13.777
iac tools,24,1,13.777
qualificationsproven,24,1,13.777
restful apis,110,8,13.593
responsive design,36,2,13.593
using react,48,3,13.501
experience java,96,7,13.363
participate code,59,4,13.225
intercontinental exchange,35,2,13.225
low latency,23,1,13.225
python developer,23,1,13.225
strategically identify,23,1,13.225
reliability availability,23,1,13.225
top-notch training,23,1,13.225
strong sql,46,3,12.95
bigquery,46,3,12.95
chatbotwrite,69,5,12.858
chatbotwrite high-quality,69,5,12.858
coding chatbotwrite,69,5,12.858
transform load,45,3,12.674
organic social,22,1,12.674
all-expenses-paid,22,1,12.674
resolve data,22,1,12.674
etc consult,22,1,12.674
ingestion,79,6,12.596
flask,33,2,12.491
deployment processes,44,3,12.399
reliability scalability,32,2,12.123
authentication authorization,32,2,12.123
refactoring,32,2,12.123
within while,21,1,12.123
queuing,21,1,12.123
esxi,21,1,12.123
engagements clients,21,1,12.123
