,applies,apply_rate
applies,1.0,0.45595704462294756
views,0.5259051226195957,0.20918690833558093
apply_rate,0.45595704462294756,1.0
flesch_kincaid_grade,0.06050902665776055,0.135747614309741
has_flexibility,0.04162375099814637,0.05715044465880337
sentiment_score,-0.0008237726660632078,-0.011485139732556063
has_growth_language,-0.008023497745622476,-0.02425734379981458
has_culture_language,-0.015457708415781138,-0.03014647336770426
has_call_to_action,-0.030270813294025124,-0.06122205267499822
has_requirements_section,-0.032379736833158854,-0.060259353673014736
has_responsibilities_section,-0.0381818716321046,-0.060009558773206254
has_salary_language,-0.043906774539889525,-0.09906650551546868
word_count,-0.05184633118861501,-0.1133683830334531
has_benefits,-0.05956070799968089,-0.13658786051325914
flesch_reading_ease,-0.060509484554247185,-0.135740204760776
clarity_score,-0.07209720620578215,-0.16343096403984092
